Strct;GICS;Sub-sector;CFPR;FCFPR;CFPS;FCFPS;CFg;Salesg;ShrOut;TtSales;ROE;ROIC;OpM;FCFM;NDtE;NDtC;IC
CCrp;Cdisc;Automakers;18;18;3;3;3;3;3;3;7;6;6;6;6;6;7
CCrp;Cdisc;Consumer Retails;18;18;3;3;3;3;3;3;10;9;6;6;5;5;5
CCrp;Cdisc;HotelsCruise Liners;18;18;3;3;3;3;3;3;8;8;8;6;6;6;6
CCrp;Cdisc;Mixed Cnsm Bsnss;20;20;3;3;3;3;3;3;7;7;7;6;6;6;6
CCrp;Cdisc;Restaurants;18;18;3;3;3;3;3;3;10;8;9;6;5;5;5
CCrp;Cdisc;;20;20;3;3;3;3;3;3;7;7;7;6;6;6;6
CCrp;Comm;Telecom;10;10;2;2;2;2;2;2;8;8;8;8;9;9;9
CCrp;Comm;;15;15;2;2;2;2;2;2;9;9;8;8;8;8;8
CCrp;Cstap;Tobacco;30;30;2;2;2;2;2;2;8;8;10;11;4;4;5
CCrp;Cstap;;25;25;2;2;2;2;2;2;7;7;7;6;6;6;6
CCrp;Enrgy;Coal/CFuels/Mids;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;Enrgy;Oil Producers;20;20;3;3;3;3;3;3;7;7;6;6;5;5;7
CCrp;Enrgy;Refiners;18;18;3;3;3;3;3;3;8;8;7;6;6;6;7
CCrp;Enrgy;Oil Equip Provdrs;18;18;3;3;3;3;3;3;8;8;9;6;6;6;6
CCrp;Enrgy;Pipelines;15;0;3;0;3;3;3;3;9;8;9;0;10;6;11
CCrp;Enrgy;;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;Fnncls;Mixed Financials;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;Fnncls;Insurers;18;0;3;0;3;3;3;3;8;8;8;0;6;4;6
CCrp;Fnncls;Asset Managers;18;18;3;3;3;3;3;3;12;12;10;10;4;4;6
CCrp;Fnncls;Banks;15;0;3;0;3;3;3;3;9;8;0;0;6;6;6
CCrp;Fnncls;Mortgage REITs;30;0;3;0;3;3;3;3;5;0;0;0;6;4;7
CCrp;Fnncls;BDCs;30;0;3;0;3;3;3;3;10;8;0;0;6;4;6
CCrp;Fnncls;;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;Hlthcr;Biotech;18;18;3;3;3;3;3;3;12;12;10;11;4;3;3
CCrp;Hlthcr;Distributors;20;20;3;3;3;3;3;3;7;7;6;6;6;6;6
CCrp;Hlthcr;;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;Indstr;Heavy Equipment;18;18;2;2;2;2;2;2;9;9;8;8;6;6;6
CCrp;Indstr;;20;20;2;2;2;2;2;2;8;8;7;7;5;5;5
CCrp;IT;Semiconductors;12;12;3;3;3;3;3;3;12;12;10;6;6;6;5
CCrp;IT;;15;15;3;3;3;3;3;3;9;9;8;8;6;6;6
CCrp;Mtrls;Gases/conts/specs;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;Mtrls;Paper Pckg Prods;18;18;3;3;3;3;3;3;7;7;7;6;6;6;7
CCrp;Mtrls;Steelmakers;18;18;3;3;3;3;3;3;7;7;6;6;7;6;7
CCrp;Mtrls;Mining Companies;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;Mtrls;Construction mtrls;18;18;3;3;3;3;3;3;8;8;9;6;6;6;6
CCrp;Mtrls;Chemical Prods;18;18;3;3;3;3;3;3;9;9;9;6;5;5;6
CCrp;Mtrls;;20;20;3;3;3;3;3;3;6;6;6;6;6;6;6
CCrp;RealEst;Divers RlEstt Acts;20;20;2;2;2;2;2;2;6;6;6;6;6;6;6
CCrp;Utlts;Power Producers;20;0;3;0;3;3;3;3;8;8;12;0;6;6;6
CCrp;Utlts;YieldCos & Rnwbl;30;0;3;0;3;3;3;3;8;6;12;6;6;6;6
CCrp;Utlts;;25;0;3;0;3;3;3;3;9;7;12;0;6;6;6
MLP;Enrgy;Coal and C Fuels;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Enrgy;Midstream Serv;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Enrgy;Oil,Gas Equip Serv;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Enrgy;Oil and Gas Prod;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Enrgy;Oil,Gas Ref M'ting;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Fnncls;Real Estate Financing;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Mtrls;CommodityChmcls;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Utlts;Gas Utilities;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
MLP;Utlts;Multi-Utilities;30;0;3;0;3;3;0;3;7;5;6;0;6;6;6
REIT;RealEst;Hotel;30;0;3;0;3;3;0;3;7;5;6;6;6;6;6
REIT;RealEst;Industrial REITs;25;0;3;0;3;3;0;3;7;5;6;6;6;6;6
REIT;RealEst;Mall;28;0;3;0;3;3;0;3;7;5;6;6;6;6;6
REIT;RealEst;Medical Building;32;0;3;0;3;3;0;3;7;5;6;6;6;6;6
REIT;RealEst;Senior Living;28;0;3;0;3;3;0;3;7;5;6;6;6;6;6
REIT;RealEst;;30;0;3;0;3;3;0;3;7;5;6;6;6;6;6
